Epoch,Training Loss,Validation Loss
0,0.6089154481887817,0.6802600622177124
1,0.5238984227180481,0.6515159010887146
2,0.5046311020851135,0.6195306777954102
3,0.4903163611888885,0.5856552124023438
4,0.4774265885353088,0.5839218497276306
5,0.4670292735099792,0.5843039751052856
6,0.4561476409435272,0.5608991980552673
7,0.4478978216648102,0.568976104259491
8,0.437635600566864,0.6071873307228088
9,0.4304369986057281,0.589023232460022
10,0.4221610128879547,0.6039056777954102
11,0.4153773486614227,0.592552661895752
12,0.407312661409378,0.6118032932281494
13,0.3998768329620361,0.6075958609580994
14,0.3926444351673126,0.6485459208488464
15,0.3863346874713897,0.6585662961006165
16,0.3806414902210235,0.6427397727966309
17,0.361284852027893,0.6389427781105042
18,0.3486117124557495,0.6366521120071411
19,0.3432058990001678,0.6320636868476868
20,0.3386463522911072,0.627925455570221
21,0.3357197344303131,0.6325221657752991
22,0.3329344689846039,0.6249527931213379
23,0.3296226561069488,0.6367237567901611
24,0.3261293768882751,0.6325588226318359
25,0.323908269405365,0.6339749693870544
26,0.3208995759487152,0.641867458820343
27,0.3176890015602112,0.6569597125053406
28,0.3150855302810669,0.6569445729255676
29,0.3146456480026245,0.6527196168899536
30,0.3146725594997406,0.6517271399497986
31,0.3148161470890045,0.6510544419288635
32,0.3138859570026397,0.6542472839355469
33,0.3142912089824676,0.6529451012611389
34,0.3139483332633972,0.6523931622505188
35,0.3135515451431274,0.6561294198036194
36,0.3127921521663666,0.6545640230178833
37,0.3128898739814758,0.6522295475006104
38,0.3118068277835846,0.6519719362258911
39,0.3125278055667877,0.6571096777915955
40,0.3117099404335022,0.65116286277771
41,0.3118416965007782,0.6576833128929138
